프로그램;;first_name;last_name;nation;affiliation;image_path;
Luncheon Symposium 4;;Kyoung Min;Kim;Korea;Yonsei University, Korea;/luncheon/Luncheon_Symposium_4.png;/luncheon/LUNCHEON4.pdf
Special Scientific Session 1;;Ania;Jastreboff;USA;Yale University, USA;/special_scientific/Special_Scientific_Session_1.png;/special_scientific/Special_Scientific_Session_1.pdf
Symposium 5;;Monika;Chaudhary;India;IIHMR University, India;/symposium_5/Symposium_5-1.png;/symposium_5/SYM5.pdf
Symposium 5;;Seul Ki;Choi;Korea;University of Seoul, Korea;/symposium_5/Symposium_5-2.png;/symposium_5/SYM5-2.pdf
Symposium 5;;Seunghyun;Yoo;Korea;Seoul National University, Korea;;/symposium_5/SYM5-3.pdf
Symposium 6;;Yuho;Kim;USA;University of Massachusetts-Lowell, USA;/symposium_6/Symposium_6-1.png;/symposium_6/SYM6.pdf
Symposium 6;;Sechang;Oh;Japan;R Professional University of Rehabilitation, Japan;/symposium_6/Symposium_6-2.png;/symposium_6/SYM6-2.pdf
Symposium 6;;Young-Min;Park;Korea;Incheon National University, Korea;/symposium_6/Symposium_6-3.png;/symposium_6/SYM6-3.pdf
Symposium 7;;Emilio;Mottillo ;USA;Henry Ford Hospital, USA;/symposium_7/Symposium_7-1.png;/symposium_7/SYM7.pdf
Symposium 7;;Maria;Ulvmar;Sweden;Uppsala University, Sweden;/symposium_7/Symposium_7-2.png;/symposium_7/SYM7-2.pdf
Symposium 7;;Dong Wook;Choi;Korea;Korea University, Korea;/symposium_7/Symposium_7-3.png;/symposium_7/SYM7-3.pdf
Symposium 8;;Kanokkan;Tepmalai;Thailand;Chiang Mai University, Thailand;/symposium_8/Symposium_8-1.png;/symposium_8/SYM8.pdf
Symposium 8;;Jong-Han;Kim;Korea;Korea University, Korea;/symposium_8/Symposium_8-2.png;/symposium_8/SYM8-2.pdf
Symposium 8;;Moon-Won;Yoo;Korea;University of Ulsan, Korea;/symposium_8/Symposium_8-3.png;/symposium_8/SYM8-3.pdf
Sponsored Session 2;;Jee-Hyun;Kang;Korea;Konyang University, Korea;/sponsored_session/Sponsored_Session_2-1.png;/sponsored_session/sponsor-2.pdf
Sponsored Session 2;;Yoon Jeong;Cho ;Korea;Daegu Catholic University, Korea;/sponsored_session/Sponsored_Session_2-2.png;/sponsored_session/sponsor-2-2.pdf
Sponsored Session 2;;Jong Han;Choi ;Korea;Konkuk University, Korea;/sponsored_session/Sponsored_Session_2-3.png;/sponsored_session/sponsor-2-3.pdf
Plenary Lecture 2;;Silva;Arslanian;USA;University of Pittsburgh, USA;/plenary_lecture/Plenary_Lecture_2.png;/plenary_lecture/PL2.pdf
